SN,LIFNR,NAME1,STRAS
554,TPE100,3PE100,
555,UE-1000,MÃ¼ller,Zehntgrafenstr. 17
556,CM00001,C.M.L . Cash and Liquidity,KÃ¶lpiner Str 20
557,FORN00-02,Fornecedor Pessoa Fisica,Tv das Nacoes 11
558,CM_CABLE1,CM Cable (Hollow Price + Metal),
559,15,Tiedemeier Entsorgung GmbH,WestendstraÃŸe
560,5307,Japan Computer Parts Corp.,1234 Emperor Street
561,CUSTOM,Indian Customs,134 Mg Rd
562,EWT-VEN,XYZ Pvt Ltd.,Bellandur Rd
563,10001,Detroit Supplier Inc.,12 12 Quality-Street
564,22222,GenÃ©rale de Fonderie,1
565,200025,Internal revenue service,Roxas Blvd
566,100023,John Smith,1000 J Bocobo Street
567,100084,Mr Michael Hire,35 Main Street
568,100087,Ann Takahashi,3538 Armada Street
569,100088,Timmy Tabasco,1515 First Way
570,100095,Mark Gregson,1212 Winona Blvd
571,100108,Jo Procter,1235 Main Street
572,100110,Steve Waters,810 Mockingbird
573,100118,John McCormick,630 Presswick Lane
574,100119,Maggie Hurley,1615 Schultz Way
575,100120,Marvin Smith,100 Mockingbird
576,100121,Bill Grace,7647 Newton Place
577,100122,Mike Sanders,7862 East King Street
578,100123,Darryl Gibbons,123 Beltway
579,100124,John Throw,4357 Hanover Park Place
580,100125,Rick McDowell,4427 Rolling Dr
581,100163,Pedro Lopez,Picasso 4
582,100193,Frank Bake,1090  Pond View Drive
583,100194,Chris Winter,1934 Dorchester Place
584,100195,Daniel Voss,903 Pine Street
585,100196,Susan Parker,1090 Delancy Place
586,100197,David Lee,1040 Grant Lane
587,100198,Joe Flathers,1920 Fifth Street
588,SU777,AC Company / Ohio NEW,610 New North Main St
589,300002,Juan Gonzalez,Picasso 4
590,VENDOR1,Vendor1,1222
591,VENDOR2,Vendor2,122 110
592,ABC-600,Pump Repair Company,555 Main Street
593,CIN-VEN,Mr. ABC Pvt. Ltd.,71-A
594,COMPANY02,Company02,Mainzer Landstr. 115
595,CSL_8911,Transcanadian Rail,1-1015 30 Street SW
596,CSL_9901,HenshuÂ Truck Co. Ltd.,De Ashi Barai
597,DOC-KRED89,DOC-KRED89,Haupstr. 78
598,SA115,Supplier 115 LLC,
599,RF-CR-CN,Continental Rail,935 de la GauchetiÃ¨re St W
600,CEP-CR-01,FedEx,1010 Main street
601,3955,Super Packageing C2F,Nanjing West Road
602,SHIPPER_M1,Shipper 01,St Kilda Rd
603,E28100,BERE GRATIS,STRADA BERARILOR
604,SFK87,sfk bombay,house no 12
605,100638,MÃ¼ller,MÃ¼llerstraÃŸe
606,600007,Edikom distribution,880 Jean-Neveu
607,YAMOCI,Yamo commerce international Inc,615
608,100668,US Metal INC,3 Main road
609,200342,Munich Vendor,1 Marienplatz
610,9022,MM Electrical,22Main
611,9021,Office Depot,21St
612,9019,SHI,19Main
613,9018,Fastenal,18Main
614,TE-AC18,American Sports Distributor Gr. 76,25 West Wilson Street
615,TE-AC19,American Sports Distributor Gr. 76,25 West Wilson Street
616,TE-AC20,American Sports Distributor Gr. 76,25 West Wilson Street
617,TE-AC21,American Sports Distributor Gr. 76,25 West Wilson Street
618,TE-AC22,American Sports Distributor Gr. 76,25 West Wilson Street
619,TE-AC23,American Sports Distributor Gr. 76,25 West Wilson Street
620,TE-AC24,American Sports Distributor Gr. 76,25 West Wilson Street
621,TE-AC25,American Sports Distributor Gr. 76,25 West Wilson Street
622,TE-AC26,American Sports Distributor Gr. 76,25 West Wilson Street
623,TE-AC27,American Sports Distributor Gr. 76,25 West Wilson Street
624,TE-AC28,American Sports Distributor Gr. 76,25 West Wilson Street
625,TE-AC29,American Sports Distributor Gr. 76,25 West Wilson Street
626,TE-AC30,American Sports Distributor Gr. 76,25 West Wilson Street
627,TM_US_L_01,Carrier Land US 01,200 Madison Avenue
628,TM_US_L_02,Carrier Land US 02,152 Bay State Road
629,TM_US_L_03,Carrier Land US 03,735 Harrison Avenue
630,TP_AIR_WI,Airport Wichita,
631,TP_PORT_NY,Port New York,
632,TP_TRN_WI,Train Station Wichita,
633,TP_US_L_01,TSP Land Transportation US 01,
634,TP_US_L_02,TSP Land Transportation US 02,
635,TP_US_L_03,TSP Land Transportation US 03,
636,TP_US_SUP1,,
637,TP_US_SUP2,,
638,TP_US_S_01,TSP Sea Transportation US 01,
639,TP_US_T_01,TSP Train Transportation US 01,
640,TRAINING,Leslie Barry Training,466 South Colorado Boulevard
641,TS_CHICAGO,Train Station Chicago,255 South Canal Street
642,TS_LA,Train Station Los Angeles,800 N. Alameda Street
643,9017,Chemicals Direct,17Main
644,9016,Mantell Office,16St
645,9014,OneSteel Limited,14St
646,9013,Caterpillar Inc,13St
647,9012,CDW,12St
648,9011,CMX,11St
649,9010,Digi storage,Main
650,EARIBA,EARIBA,412 E 101st St
651,9065,BMX Ltd.,11st
652,200001,Blue Cross Blue Shield,499 Madison Ave
653,200002,Kaiser,200 First Avenue
654,200003,Canada Life,3500 Avenue of the Saints
655,200004,Harvard Communitz Health,300 Queen Ave
656,200005,CIGNA,654 Bush Road
657,200006,CIGNA PPO,3455 S. Western Ave
658,200007,Fidelity 401k Services,300 First Ave.
659,200008,Vision Service Plan,234 Ninth Ave.
660,200009,Hewitt Associates,300 Boardwalk
661,200010,Great Lakes HMO,299 Michigan Ave.
662,200011,Hyatt Legal Services,300 Chicago Street
663,200012,Merrill Lynch,300 Building A
664,200013,CIGNA,300 Madison Ave.
665,200014,Inversiones Mexicanas,300 El Paso Road
666,200015,Centauro,300 Mexico Road
667,CM_VAG01,CM Agriculture Vendor 01,
668,CM_VAG02,CM Agriculture Vendor 02,
669,CM_VAG03,CM Agriculture Vendor 03,
670,CM_VCO01,CM Concentrate Vendor 01,
671,CM_VCO02,CM Concentrate Vendor 02,
672,CM_VCO03,CM Concentrate Vendor 03,
673,CM_VCOFIX,CM Conc Vendor FIX EUR,
674,CM_VMEAT_1,CM Vendor Meat,
675,CM_VMI01,CM Miscellaneous Vendor01,
676,CM_VMI03,CM Miscellaneous Vendor03,
677,CM_VMT01,CM Metal Vendor 01,
678,CM_VMT03,CM Metal Vendor 03,
679,CM_VMTFIX,CM Metal Vendor FIX,
680,CM_VMT02,CM Metal Vendor 02,
681,CM_VMI02,CM Miscellaneous Vendor02,
682,CM_VMTGTM,CM Metal Vendor GTM,
683,CM_VMT09,CM Alu Can Supplier,
684,CRM-52,Leslie Bancroft,8558 W 14th Ave
685,CM_VOG01,CM Oil and Gas Vendor 01,
686,CM_VOG02,CM Oil and Gas Vendor 02,
687,CRM-56,Leslie Caldwell,453 South Colorado Boulevard
688,CM_VOG03,CM Oil and Gas Vendor 03,
689,CRM-60,Leslie Earley,703 Holcomb Bridge
690,CRM-62,Leslie Faber,505 E. Butler Parkway
691,CRMTRAINER,Leslie Barry,466 South Colorado Boulevard
692,CRM-01,Leslie Allison,221 West 48 th Avenue
693,CRM-10,Leslie Mendoza,500 E. Butler Parkway
694,CRM-19,Leslie Shields,101 S Bannock St
695,CRM-24,Leslie Roth,2079 Parker Rd
696,CRM-25,Leslie McCullough,256 West 48 th Avenue
697,CRM-35,Leslie Kingston,201 S Broadway
698,CRM-49,Leslie Brown,101 S Bannock St
699,CRM-40,Leslie Crumpton,6578 Westmoreland Plaza
700,CRM-53,Leslie Barnett,6996  6895 Leetsdale Dr
701,CRM-39,Leslie Arnall,7068 Jimmy Carter Boulevard
702,CRM-29,Leslie Simpson,7012 Jimmy Carter Boulevard
703,9026,Grainger,
704,9025,JC Inc,Main
705,9041,SCF Supplier2,100 St
706,9042,SCF Supplier 3,100 St
707,200030,Metropolitan Life Insurance,1015 Catamaran Drive
708,EWM_3001,Flowrate Corp,61 Avenue U
709,EWM_3003,World's Best Suppliers,5 Westbrook Road
710,EXTERN_US,External vendor USA,1 Rodeo Drive
711,FCC,Freight Cost Carrier,110 Monroe Avenue
712,FOCUS,Focus Inc,43322
713,HOTDOGS,Hot Dogs Inc.,
714,HT-V2011-2,Western Digital,3355 Michelson Drive
715,INTEEK,INTEEK International,
716,IOT-CR-01,P&G Truck Lines,4075 Windgap Ave
717,IOT-CR-02,Global Cargo Systems,303 Port Jersey Blvd
718,IS_CARR1,Global East Ocean Transport,1234 Ocean Blvd
719,IS_CARR2,USA Rail Road Company,6000 Rail Terminal Road
720,IS_CARR3,US West Trucking Company,3500 Main Street
721,IS_CARR6,US East Trucking Company,1548 Main Street
722,JRT-00,JR Trucking,700 Freight Avenue
723,LANCO,ANCO Technology,
724,LSANG,Los Angeles,
725,MD-VEND1,Medical Device Vendor,123 Wacker
726,METMININC,Metal Mining Inc,200 Brownstone St
727,MM_CARR_A,MM_CARR_A,Rafles Ave
728,MM_CARR_B,MM_CARR_B,Windbreak street
729,MM_CARR_C,MM_CARR_C,North River Drive
730,MN02,Manufacturer 02 for MPN,Park Ave
731,NTE,National Transportation Exchange,1400 Opus Place
732,OT-CR-01,PGI Truck Lines,Windgap Ave
733,OT-CR-02,National Trucking,Durand Avenue
734,OT-CR-03,Fast Trucking and Logistics,Spring Street
735,OT-CR-04,Green Transport,Port Jersey Blvd
736,PRCL,Purva Revira Commertial Ltd,
737,RSV10,RSV10,
738,RSV20,RSV20,
739,RSV30,RSV30,
740,SA108,Supplier 108 LLC,
741,SANSAR,SANSAR COM.LTD,
742,SBC_ISTC,ISTC,
743,SBC_S_01,Business Partner Chemical Carrier,Madison Avenue
744,SE08,Supplier 108 GmBH,
745,SIMBA,SIMBA TRADING,
746,SL-CLEASE,Container Leasing Center,LOS ANGELES
747,SL-SDIEGO,San Diego Harbor,
748,SL108,Supplier 108 LLC,
749,SL1234,Pacific Trucking Inc.,7000 Terminal Way
750,SL1235,West Coast Trucking Inc.,7000 Terminal Way
751,SL2234,Pacific Trucking Inc.,7000 Terminal Way
752,SL2468,Rail Trans Inc.,2000 W Van Buren St.
753,SL3456,Truck Trans,
754,SL3457,Truck Cargo,
755,SL4567,Air Trans,
756,SL4568,Air Cargo,
757,SL5678,Atlantic Trucking Inc.,9000 McLester Street
758,SLOC3,Trucker,
759,SLOC4,Express Trucking,
760,SM-VEND1,Parts vendor 1,
761,SM-VEND2,Parts vendor 1,
762,SM-VEND4,Parts Vendor 4,
763,SMI-SUP,SMI Supplier,100 McDavitt
764,SMI-SUP1,SMI Supplier,3806 Northwest Loop
765,SMI-SUP2,SMI Supplier 2,500 McDavitt
766,SMIV200448,IC Electronics,3804 Northwest Loop
767,SMIV200801,IC Electronics,3804 Northwest Loop
768,SMTPVS3856,Serv Mgmt TPVS TSP 2,
769,SS_FLEET1,SS Private Fleet 1,360 9th Ave SW
770,SS_FLEET2,SS Private Fleet 2,500 Main Avenue
771,SS_FLEET3,SS Private Fleet 3,500 East River Rd
772,SU103,Supplier 103 Inc.,
773,SU108,Supplier 108 Inc.,
774,SU211,Supplier 01,
775,SU212,Supplier 211,
776,SU31,US Vendor 31,
777,SU32,US Vendor 32,
778,SU33,US Vendor 33,
779,SU34,US Vendor 34,
780,SUPPL01,Supplier 01,5 Westbrook Road
781,SUPPL02,Supplier 02,
782,SUPPL03,Supplier 03,
783,TI-VEN1,Best Packaging Company,123 Baggage Lane
784,TI-VEN2,PackM Inc.,222 22nd St.
785,TI_VEN1,Best Packaging Company,123 Baggage Lane
786,TM_CAR001,P&G Truck Lines,4075 Windgap Ave
787,TM_CAR002,National Trucking,131 Durand Ave
788,TM_CAR003,Fast Trucking & Logistics,402 Spring Sreet
789,TM_CSL001,Global Cargo Systems,303 Port Jersey Blvd
790,TP-CAR-LTL,LTL Carrier,10990 Roe Avenue
791,TP-CAR-PAR,Parcel Carrier,55 Glenlake Parkway
792,TP-CARA,TPVS Carrier A,100 Corporate Drive
793,TP-CARB,TPVS Carrier B,100 Carrier B Drive
794,TP-CARC,TPVS Carrier C,200 Ashland Drive
795,TP-CARD,TPVS Carrier D,
796,TP-MMCARB,Worldwide Transportation Services,500 Broadaxe Drive
797,TP-MMCARD,Intermodal Services,1 West Wacker Drive
798,TP-VEND3,TP_VEND3,
799,TPU100,3PU100,
800,US-LA-SP,LA Harbor,
801,US-VEN1,Universal Chemical Stabilizer Co.,1234 Westchester Pike
802,US-VEN2,World Colors Incorporated,
803,US-VEN3,Global Additives Ltd.,
804,US-VEN4,N. A. Sealing Company,
805,US-VEN5,Interstate Transport Comp.,
806,US-VEN6,Total Chemical Company,
807,US-VEND3,Supplier - Three,301 Airport Blvd.
808,US-VEND4,Supplier - Four,1 Whipple Way
809,US1444,US1444,
810,US2345,US2345,
811,US30192,US30192,
812,US3720,US3720,
813,US5580,US5580,
814,V3000,vendor for Plant 3000,
815,VENDOR04,VENDOR04,Park Avenue West
816,YELLOW_FRT,Yellow Freight Systems,
817,YHTS_NIC,NIC Components Corp,
818,NALA-3000,Office Deliveries,254 E Randolph St
819,NALA-3001,Televista Inc.,3059 Briarpark Dr
820,A006088451,Security Services,1100 Drexler Boulevard
821,A006097529,Maintenance Services,535 N Michigan Ave.
822,A006105812,Gardener Services,1501 Arch Street
823,WRS-VENDA,Wayne best vendor,1500 Main Ln
824,WRS-VENDB,Wayne Best Vendor B,100 Maple St
825,ECOM-CAR,ECOM Carrier,
826,2,Electronic Components Distributor,Tower Lane 1082
827,1030,Jotachi Deutschland AG,5600 Lee Blvd.
828,1472,MG Trucking,1472 Trucking Lane
829,1993,Snyder Inc.,5 AVE.
830,3100,Phoenix Supplies,1278 West Market Street
831,3111,CMDS Supplier,Main Street
832,3150,Get Mobile Inc.,2020 Tortilla Drive
833,3151,Superior Tech. Inc.,245 245 Potters Drive
834,3152,LUXITEC Inc.,900 900 Desert Way
835,3300,Material Supplier,123 Main Street
836,3301,Office Supply Company,456 North Street
837,3302,Utilities Company,566 South Avenue
838,3535,Scheduling Agreement Vendor,
839,3801,Acme Industrial Supplies,5400 Tioga Ave.
840,3802,American Business Services,1150  Michigan Ave
841,3803,Multi-State Brokers,
842,3816,NJ Electronics,100 N. Main Street
843,3817,MicroElectronics,100 E. Cleveland Ave
844,3818,Atlanta Electronics Supply,6558 Roswell Road
845,3819,Tucker Industries,4375 Lawrenceville Hwy
846,3900,Gateway Supply,2770 Carson Street - Suite 2000
847,3901,Gertronics,5600 Lee Blvd.
848,3903,Elway Industries,300 Waneka Parkway
849,3904,JSS of America,7910 Richmond Hwy
850,3905,Greenville Manufacturers,7600 Grennville Hwy.
851,3906,Dynasty,1915 South Range Ave.
852,3931,International Transport Comp.,Michigan Ave
853,3941,Transport Express,123 1st Street
854,3970,VISA,7800 Broad Street
855,3980,Main Line Cleaning Services,1200 Lancester Avenue
856,3990,Plastic Bottle Inc,6723 Henry Court
857,4041,Express Transport,300 East Industrial Way
858,4042,Reliable Trucking,707 N 2nd St.
859,4043,Parcel Service Express,7000 Peachtree Pkwy
860,4212,ALT's Autom. Release Vendor,32817 Harmon
861,6100,NETProducts Inc.,10-15 O'Hara
862,7777,American Express Corporate Services,
863,8040,Venky Subcontractors,1100 Drexler Boulevard
864,8050,Excellent Materials,500 Main Street
865,8765,DuFresne's Supply,123 Lucky Lane
866,9006,Sally Thompson,Baker Street
867,FEDEX,FEDEX,
868,100160,Larry Landlord,12 5th Avenue
869,YHTS_VIS,Vishay Corp,
870,YHTS_KEM,Kemet Corp,
871,11111,MASTERCARD,
872,24000,Speedy Couriers,
873,24001,County Courthouse,800 Justice Way
874,24002,Magnum P.I.,24981 Aloha Way
875,30001,Ides Vendor for excise duty,Beer Street
876,30100,Brooke Supply Company,7900 Broadway
877,30190,ABB Transport Company,200 Main Street
878,30192,Universal Supply Company,100 Broad Street
879,33333,Treasury Vendor,3 Treasury Street
880,60001,Armstrong & Partners,1897 Warminster Street
881,60002,Johnson & Miller Inc.,1914 Grant Avenue
882,60003,Parker & Sons,1902 Eddystone Blvd.
883,60004,Golden Vegetables,181 Wilson Circle
884,60005,Plastic Bottle Company,6723 Henry Court
885,60006,Paper Products Company,5489  Schyler Way
886,60007,Cow Chemicals,667 Christopher Heights
887,100018,Tom Peterson,Baker Street
888,100028,Deborah Schmidt,34555
889,100058,Jennifer Green,5223 Lighthouse Lane
890,100059,Tom Howard,7 Canal Street
891,100060,Sunni Patel,250 Deerfield Drive
892,100061,Dave Rodriguez,3215 Green St.
893,100062,Lorna Flannigan,2231 Palomino Road
894,100065,Christina Daniels,389 Jefferson St.
895,100066,Scott Gibson,562 Ferndale Road
896,100067,Zoe Sutherland,18586 Gelding Lane
897,100068,George Peters,5687 Dekalb Pike
898,100069,John Smith,528 S. 4th Street
899,100096,HaroldXCarson,617 Mile High Way
900,100109,Marcus Weiss,2413 Southbridge Lane
901,100111,Katherine Durand,1445 Canal Street
902,100112,Susan Menson,515 Willow Tree Lane
903,100113,James Abbott,6301 Marsh Road
904,100114,Jake West,1313 Peachtree Boulevard
905,100115,Michael Waldmann,34889 Fifth Avenue
906,100116,Mark Williams,84738 Flatbush Ave
907,100117,Carol Higgins,815 Osceola Road
908,100126,Barb Brunner,713 North Ave
909,100133,Mark Freeman,66 Douglas Street
910,100134,Peter Johnson,2342 Fremont Drive
911,100135,Linda Addison,56 Richmond Avenue
912,100136,Susan Affleck,125 Fifth Avenue
913,100137,Ben Devine,5 Old West Road
914,100138,Judy Diaz,10 Millers Close
915,100143,Adam Richardson,1151 West Walnut Hill
916,100148,Perry Johnson,11 Southstreet
917,100149,Jordan Miller,424 Colorado Street
918,100155,Packaging International,711 S. Madison St.
919,100158,Larry Landlord,12 5th Avenue
920,100173,Washington Realty Corporation,4500 Roger Drive
921,100218,Amanda Winters,
922,100223,TechTronix Inc.,45 Baker Street
923,100224,Pear Consulting Services Inc,1925 Century Park East
924,100248,IDES Tool and Die,1 Main St
925,100279,Kelly Jameson,1 Mission St.
926,100358,Third-Party Agent #1,100 Louisiana
927,100398,RSV10,
928,200016,State of California,300 First Avenue
929,200017,State of Illinois,900 Wacker Drive
930,200018,State of New Jersey,300 Madison Avenue
931,200019,State of Massachuesetts,500 Delaney Street
932,200027,State of Georgia,1000 Olympia Drive
933,200029,BA Union,1015 Catamaran Drive
934,5000000,Google Inc.,1600 Amphitheatre Parkway
935,5000001,Licensing Corp,375 Brannan Street
936,300011,Harry Crump,5 Old West Road
937,300020,Mobile Mania East Side Store,66 Douglas Street
938,300030,Fernando Rodriguez,770 West Highland Ave.
939,BLEVINS,Blevins Consulting,22322 Wayy Dr
940,CAU301,PGI Truck Lines,Windgap Ave
941,CAU302,National Trucking,Durand Ave
942,CAU303,Fast Trucking & Logistics,Spring Street
943,CAU304,Green Transport,Port Jersey Blvd
944,CIRCUITS,Circuits Consulting,3223 Williams Way
945,CSL_0001,Transpacific Shipping Lines,2931 Firestone Boulevard
946,CSL_8901,Acme Trucking Inc.,1334 West Cornelia Ave.
947,CSL_8921,Western United Ltd.,173 Brinkerhoff Road
948,CS_CARR_A,CS_CARR_A,Raffles Ave
949,CS_CARR_B,CS_CARR_B,Windbreak St
950,CS_CARR_C,CS_CARR_C,North River Drive
951,CS_CARR_D,CS_CARR_D,South Park Street
952,CS_CARR_E,CS_CARR_E,552
953,CS_CARR_F,CS_CARR_F,331
954,DOT-CR-01,PGI Truck Lines,Windgap Ave
955,DOT-CR-02,National Trucking,Durand Avenue
956,DOT-CR-03,Fast Trucking and Logistics,Spring Street
957,DOT-CR-04,Green Transport,Port Jersey Blvd
958,DOT-CR-20,Rail Express â€“ Chicago to LA,
959,DOWNEY INC,Downey Consulting,23223 Hampro way
960,EWM_3000,C.E.B. New York,74  Broad Street
961,A006116835,Chauffeur Services,300 Madison Ave.
962,RF-CR-02,Dallas Rail Company,2215 S Good Latimer Expy
963,RF-CR-01,Joe's Trucking Inc.,79 Revere Blvd
964,RF-CR-BURL,Burlington Rail Inc,2210 S Damen Ave
965,CEP-CR-02,UPS,1 Durand Ave
966,OAF-CR-02,SOCAL Shipping Corporation,25 Main Street
967,OAF-CR-05,ACME Lines,10 Beach Street
968,OAF-CR-06,Desert Express Lines,355 frst
969,FM-CR-01,FM-CR-01,Durand Ave
970,FM-CR-02,FM-CR-02,Spring Street
971,FM-CR-03,FM-CR-03,Port Jersey Blvd
972,SU213,SU213 - EWM supplier,
973,TWA_CR_05,ACME Lines,Beach Street 10
974,TWA-CR-05,ACME Lines,Beach Street 10
975,TWA-CR-06,Desert Express Lines,First 355
976,AF-QF-LAX,Oceanic Airways (US) KK Ltd.,555 North Nash Street
977,TWA-JL-LAX,Rising Sun Airlines (US) Ltd,6041 W. Imperial Hwy # D
978,TWA-QF-LAX,Oceanic Airways (USA) KK Ltd,6041 W. Imperial Hwy # D
979,AF-JL-LAX,Rising Sun Airlines (US) Ltd.,#D 6041 W. Imperial Hwy
980,WB_CAR01,WB_CAR01,Street: W 9th St; House No: 5000
981,WB_CAR02,wb_car02,Street: W 4th St; House No: 300
982,GCL_CAR_01,GCL Carrier,
983,200021,State of Ohio,300 Buckeye Lane
984,200026,State of New York,5th Avenue
985,200028,Albatros Aircrafts,1015 Catamaran Drive
986,200065,Sus Picious,6 Baker
987,2316,BRIDGESTONE,3838 Barnes Blvd.
988,2317,YOKOHAMA,28282 Crenshaw
989,SU109,SU109,
990,SU302,Libert Industries / Pennsylvania,1228 Brighton Road
991,SU303,Vend Inc. / Pennsylvania,2395 Lincoln Highway East
992,SU304,Supplier Limited / Wisconsin,596 Cameron Street
993,SU305,Franklin Inc / Wisconsin,625 3rd Street South
994,SU306,Rossi Industries / Wisconsin,1002 Ann Street
995,SU307,US Supply / Wisconsin,1021 6th Street
996,V-01,BSI2011-Vendor-01,25 Main Road
997,V-02,BSI2011-Vendor-02,2800 South  25th Ave
998,V-03,BSI2011-Vendor-03,
999,V-04,BSI2011-Vendor-04,1100 Drexler Boulevard
1000,V-05,BSI2011-Vendor-05,Freight Avenue
1001,YHTS_ANA,Analog Devices,
1002,YHTS_FAI,Fairchild Semiconductor,
1003,YHTS_MOL,Molex Inc.,
1004,YHTS_NAT,National Semiconductor,
1005,YHTS_ONS,ON Semiconductor,
1006,SU301,AC Company / Ohio,610 North Main Street
1007,9075,Zillion Technologies,13th main
1008,9085,LOUIS Corporation,11
1009,9095,Bettle Inc,171 12th Ave
1010,9060,ASP CORPORATION,401 123
1011,9070,Bridge Manufacturing,437 6th Ave
1012,WGW-001,AC Company/ohio,610 North Main Street
1013,WGW-002,Liberty Industries / Pennsylvania,1228 Brighton Road
1014,WGW-003,American Industries / Pennsylvania,2395 Lincoln Highway East
1015,WGW-004,Eau Clarie Limited / Wisconsin,596 Cameron Street
1016,WGW-005,Frankline Inc / Wisconsin,625 3rd Street South
1017,WGW-006,Rossi Industries / Wisconsin,1002 Ann Street
1018,WGW-007,US Supply / Wisconsin,1021 6th Street
1019,3030,Air Parts,Washington Street 254
1020,3031,Air Service,1
1021,3121,Marx Broths Piping Copmany,301 Hilton Street
1022,3141,Marx Broths Piping Copmany,301 Hilton Street
1023,3430,Universal Chemical Stabilizer Co.,1234 Westchester Pike
1024,5100,Harbinger Online Shops,123 123 122th Street
1025,5300,Grainger Online Shop,95 South Figueroa Street
1026,5571,Amazon,85 West Side Ave
1027,5582,IDES Automotive,1-3 Mainstreet
1028,5595,IDES SUS Vendor,18-22 Main Street
1029,5599,VEST Supplier,Crossroad 10-12
1030,5601,HTO Services and Solutions,125-150 Kennedy Road
1031,5602,Datalab Computer Applications,100 Priscilla St
1032,5603,CAFS IT SERVICES,20-55 East Industrial Drive
1033,5604,KensleyTechnologies,100 Wellington Pike
1034,6602,Datatrans IT Services,100 Gregory St
1035,10020,Doug Olson,9999 Hillsdale Ave
1036,10501,Deborah Davis,18017 South Sayre
1037,A80082,Vendor_Altpayee,
1038,INDSUP,Industrial Suppliers,
1039,A80083,Vendor_Altpayee2,
1040,ENGSUP,Engineering Suppliers,
1041,MECHEQSUP,Mechanical Equipment Suppliers,
1042,A80084,Vendor_Altpayee4,
1043,A80085,Vendor_Altpayee5,
1044,VENDOR_A,Pacheco AG,3999 West Chester Pike
1045,JML-2122,Staples,1729 Judith
1046,JML-2123,Fry's,8773 Diable
1047,RLVEND,Rudy's Favorite Vendor,Dallas
1048,RPPC_1,RPPC_1,
1049,SAS8383,Steve's Favorite Vendor,100 Main Street
1050,SE108,Supplier 108 GmBH,
1051,SL-LA-SP,LA Harbor,
1052,SL-TOKYOSP,Tokyo Harbor,
1053,SLOC1,DSL container shipping,
1054,SLOC2,Trans Speed,6 Dummy Street
1055,SP-CARA,SP Postal Carrier A,Bolzano street 63
1056,SP-CARB,SP Postal Carrier B,Piazza Duca D\'Aosta 12
1057,SU101,Supplier 101 Inc.,2 5th Street
1058,SU102,Supplier 102 Inc.,1 Mainstree
1059,SU104,Supplier 104 Inc.,1 Mainstreet
1060,SU105,Supplier 105 Inc.,
1061,SU106,SU106,
1062,SU110,SU110,
1063,SU111,SU111,
1064,SU321,C. M Vendor 1,W Quincy Ave
1065,SU322,C. M Vendor 2,Hampden Ave
1066,TEST124,test124,402 main street
1067,TP-MMCARA,Global Transportation,100 Headquarter Drive
1068,TP-MMCARC,Speedy Transportation Services,Westchester Pike
1069,TP-VEND1,US Detergent Co.,1000 Cleaner Way
1070,TP-VEND2,US Chemical - Dallas,200 Industrial Way
1071,TPA100,3PA100,
1072,TP_DE_N_01,,
1073,TP_DE_N_02,,
1074,TP_DE_S_01,TP EU Supplier 01,
1075,TP_DE_S_02,TP EU Supplier 02,
1076,TP_EU_SUP1,TP EU Supplier 1,
1077,TP_EU_SUP2,TP EU Supplier 02,
1078,TP_EU_S_01,TSP EU Sea Transportation 01,
1079,TP_EU_S_02,TP EU Supplier 02,
1080,US-VEND1,Supplier - One,1000 Industrial Hwy
1081,US-VEND2,Supplier - Two,1 US Plaza
1082,VEN-00,Contra Pak,500 Washington Ave
1083,VENDORA,Life Sciences Supplier,3999 West Chester Pike
1084,VEN_001,SUPPLIER A,
1085,YHTS_OSR,Osram,
1086,100479,2222,35 rue des Oeillets
1087,PJGSUB1,PJG - Supplier - 1,1800 Madison St
1088,7011,1. Atlaas Industries,1 Ppg Pl
1089,7021,Ellweed Crankshaft Group,2 Ppg Pl
1090,G888,Hon Hai Industries,1725 Technology Dr
1091,G889,Flextronix Industries,2100 Denise Dr
1092,10648,MJB Supply Corporation,19000 N. Telegraph Rd
1093,FARR,RevRec,1300 Pennsylvania Ave
1094,OSS,Office Supplies Supplier,1902 Westwood Dr
1095,AGRADSUP,A Grade Supplier,1902 Westwood Dr
1096,2345,MJB Enterprises,2270 White Oak Circle
1097,2500,Ancol Corp.,2524 Competition Lane
1098,3451,Wasserwerke Frankfurt,HauptstraÃŸe 68
1099,3741,Schwartz Brothers,301 Pine Street
1100,4250,Washington Realty Corporation,4500 Roger Drive
1101,IN-IMPORT,Import Vendor,
1102,5557,VK  Enterprisises,2270 White Oak Circ
1103,5596,Singapore_IDES_MM_VENDOR,
1104,5597,IDES_SINGAPORE_XCBL_VENDOR,
1105,5900,Enigma,12 12 Quality-Street
1106,8080,E&P Supplier,2345 Concord Pike
1107,8081,Exploration Vendor,1111 Concord Pike
1108,DDVENE,Dion Vendor 2,7878 Binley Drive
1109,CMU102,Contract Manufactureer,Mainstreet
1110,ACM_TESTV1,ACM Test Vendor,
1111,100153,Plastic Cap Inc,1110 Western Ave
1112,100154,Caps Inc,501 S. Washington Ave
1113,100203,Alan Aguilar,35 Main Street
1114,100204,Bob Abe,0 - 9999 Plainfield St
1115,100205,Shirley Anderson,223 Main Street
1116,100243,Real Estate Trust,0 - 9999 W George St
1117,CED,CED,
1118,CKE-28208,Kern's #1 Vendor,1100 Metropolitan Ave
1119,CMU101,Contract Manufacturer 101 GmBH,1 Mainstreet
1120,DDVEND,Dion Vendor,1916 Bordeaux Ct
1121,CEP-CR-03,Panalpina,150 Dave Avenue
1122,US_VN,US Trading,
1123,9200,UberTronics,
